bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-754183_acq-headmotion2_T1w	0.47522986970323033	2.830446843304313	0.5503548675610955	7796.235939643347	4.380556666666666	4.04284	4.39299	4.70584	0.1757117588206726	0.40550839391674337	0.418779847262584	0.7336026430130005	0.29932251572608937	0.0020245827051235156	0.004781465820424311	37.43663146441563	16.23256886065667	17.996446219893386	192	256	256	2.543381092786326	11.249162103861682	8.798915899201202	12.604204500955596	7.748327831431958	18.47340309823239	17.472835298304712	26.19677496524979	1.0	1.0	1.0	9.522409715683846	0.0	13.954450710120458	0.0	3336463.0	0.0	69.20468032360077	25.01019072193693	-0.07538588795351497	114.63739676336259	296.48607164157784	295.79665675759315	23819.0	99.53889042139053	490.39290103316284	116.2981231058335	0.10983411524757081	61.64090678601705	705.6392905149279	705.2322764694691	18179.0	604.3595954030752	809.2679467797279	62.6902584208029	0.18995458362806694	78.47774475323344	1008.0746428266654	1000.0762256234884	178102.0	892.2297248989344	1151.0232183337212	79.34442970595178	0.15071036327920775	0.44786922092600817	0.5021613499215041	0.47654289205169714
sub-754183_acq-standard_T1w	0.30553846773550886	4.543969934052956	0.5104781739980123	-1.0	4.892286666666666	4.56251	5.05251	5.06184	0.2065227672107861	0.44593002162179146	0.34754721116742243	0.3620913028717041	0.09726464152336123	3.239518672315667e-06	0.007448879934607298	31.38987833939546	15.436085208145728	22.54833984375	192	256	256	2.351524007169758	13.576431736877337	15.303212262213094	29.981681042592186	45.12057298513096	119.17750422643395	110.25550369945466	166.46843388679906	1.0	1.0	1.0	19.42934757220227	0.0	2.1537101002653096	0.0	3478215.0	0.0	7.111665800213814	3.935622119835677	0.027489155218983097	100.76700913386975	264.9693741924578	271.05427984148264	32265.0	56.95570943504572	456.8247148104012	115.26570791719121	-0.06084522089788402	54.059951205825485	715.4701812378863	715.9388820715249	56689.0	628.1160477422178	800.0000194907188	52.73348559474035	0.2405700399238344	32.741185161440924	1000.8327897553361	1000.0312158800662	177670.0	947.5982763618231	1056.8309677317739	33.35464746494696	0.14312708162286555	0.48718237057115654	0.5168771635768836	0.603194611679711
sub-757271_acq-headmotion1_T1w	0.32451808216217043	4.245144220387214	0.5730628076534958	18315.111111111113	4.834443333333334	4.48094	5.03743	4.98496	0.20547367643762107	0.44564636542607977	0.3488799581362992	0.5073782801628113	0.22376803904771808	0.00017249138826476744	0.009325678479350017	26.981117614420217	13.202731565286518	19.03453803267148	192	256	256	2.59322845697147	14.37746050715668	13.688374109770791	24.09443336518422	25.687837287421676	64.6653937520668	59.98259687519364	89.59455958609246	1.0	1.0	1.0	19.6384710968758	0.0	4.2806999141796975	0.0	2701943.0	0.0	16.899471923708916	7.312234281218654	0.25197035839307746	106.2833842282234	287.65210473521466	286.7120258063078	36369.0	109.6113500148058	480.1910763144493	110.560287621205	0.0025247362700291376	50.96881121494812	720.7520621693087	721.7558190971613	50507.0	637.0775229483843	800.9698320329189	50.200010884795724	0.49327938358622525	39.32646170584945	1001.1148762987423	1000.0000152885914	196612.0	934.5371786504984	1070.5453590609127	41.50325749724897	0.1457868794052717	0.4709638756398962	0.5025275327674323	0.5334075118636717
sub-757271_acq-headmotion2_T1w	0.3843034399946308	3.5717019870192512	0.5807253333423331	21755.088598177193	4.660506666666667	4.37092	4.745	4.8656	0.19270993732826056	0.4274344008569773	0.3798556618147621	0.6164790391921997	0.28931836187839505	2.4268857335522153e-06	0.005914315897187401	29.107185839224734	13.48707503115695	17.263180462650975	192	256	256	2.4028240941656995	13.169236896828274	11.270213311136843	18.238578942416552	13.955049608548741	35.88741155143469	33.23848339449341	49.8729890234968	1.0	1.0	1.0	23.402695913356936	0.0	5.858008198553104	0.0	2666226.0	0.0	31.945826057344675	13.13659915945807	0.034283280042925135	119.51346239015591	281.8273025071975	279.82248117774725	31389.0	97.86517731100321	480.6718196637927	116.45381136646371	0.1350095473231434	54.28304865086816	717.9963452564086	719.6036434881389	28025.0	625.2352907299995	804.415029361099	54.64179970404305	0.3736057496212517	53.48893926621596	1004.2708068461197	1000.0382602550089	197851.0	921.8379387445748	1100.734564665705	54.830792254056604	0.14754149713608283	0.45435605486593356	0.49111540085898364	0.4924639210218923
sub-757271_acq-standard_T1w	0.2938934630260274	4.627429292019038	0.5639858993445781	-1.0	4.78353	4.49196	4.92802	4.93061	0.2108617885203085	0.4610504508504093	0.3280877606292822	0.47840195894241333	0.19964772164821626	0.00025795359727557953	0.006850331518239213	26.01763204251013	12.922222511358727	20.41070277029972	192	256	256	2.3914911198438413	14.85211897290129	15.656773389931104	29.726710077048185	38.6046244158977	102.69626264047729	94.32529260520829	141.67499075924988	1.0	1.0	1.0	317.2655572792956	0.0	2.5934938142123722	0.0	2753025.0	0.0	11.104340583086014	4.624377246736415	0.3257466898335113	111.98069171720893	273.9366576993776	272.4964553453028	35741.0	96.68901434540749	474.37201295793056	113.94256953691134	0.08589837978939086	48.888029463272744	723.4379525348954	724.8967700153589	65666.0	641.106395188719	800.4943081922829	48.80726122261538	0.5067275120477452	31.972972041175296	999.7094496300625	1000.0338917188346	188311.0	943.8181675169617	1053.6597316078842	33.6408312205164	0.14123118559094167	0.47391605641385165	0.5001972932442805	0.5507971450326149
sub-764976_acq-headmotion1_T1w	0.32111924578307827	4.336079273814944	0.5444264983504368	17790.183041884502	4.864183333333334	4.67189	4.86702	5.05364	0.24307582768314176	0.4228632094018444	0.33406096291501386	0.5604881644248962	0.2055065780878067	3.489317454612703e-06	0.011061844795792277	25.124601319589452	14.414579801067426	20.690567418027022	192	256	256	2.463459390819617	13.749179969344777	12.959590185792555	22.66613119721327	22.498308343867535	63.1877513459389	58.438467451719106	89.62934266535089	1.0	1.0	1.0	26.871835594827697	0.0	3.587089926615635	0.0	3213575.0	0.0	15.974805198609829	7.309674095802981	0.23447419954116322	96.64987134515238	254.35912696703198	251.02452206984162	61122.0	91.33338744193316	433.5186476338654	101.89835867633983	0.024168947508299787	51.19405292438223	703.1306603006763	705.0163434445858	34492.0	616.6047137230635	784.3762159686535	51.27623065116417	0.17537784071008478	43.543073586232794	1000.7637789604454	1000.0379833951592	174148.0	929.5742939561605	1074.2202735692263	44.120238405918094	0.16544204409931318	0.47026812984945565	0.5146740508653763	0.5252977611641912
sub-764976_acq-headmotion2_T1w	0.402976210743385	3.3314843180817304	0.5649265663831892	6177.533220040539	4.57156	4.33073	4.51218	4.87177	0.22795237080361616	0.4001058317775361	0.3719417974188477	0.6955094337463379	0.3108514159917831	0.0028679248379228335	0.0044906616129243866	26.809819843767418	14.689325225690089	18.179703924571815	192	256	256	2.5403272337397618	11.648756876679952	10.173924209547039	16.3326885182214	16.280925788485273	42.32991606918751	39.60497221737529	60.204074794453085	1.0	1.0	1.0	8.170461620774047	10.882371493243555	14.658329554193504	7.3400480300188065	3154719.0	0.0	64.3477543964982	23.456604379984178	0.12696160761896946	101.02468202894434	272.2286564039628	270.4399918615818	56590.0	93.70386871211232	453.61496825516224	106.45778181296231	-0.01923117485474979	60.51807702631555	701.7357202984575	703.1358232311904	18448.0	600.5525353049859	797.9305046366527	60.359811195247325	0.5443969807624245	59.127551779956654	1003.8008224366356	1000.0407660454512	180748.0	910.1251776777208	1109.733706049621	61.2292335417304	0.1685007584006234	0.45102418601923655	0.5031696554068237	0.47179190283394656
sub-764976_acq-standard_T1w	0.29458113406278735	4.631945002162465	0.5343488002521496	-1.0	4.92851	4.70227	4.98018	5.10308	0.25143459529602324	0.43415300972641996	0.31441239497755685	0.49309757351875305	0.17381376028060913	0.0	0.01796166652781507	24.18242469273397	14.117269080868567	22.184906992252902	192	256	256	2.4160976751442265	13.67829155996423	14.868960701035226	28.512492867997224	38.362991626389025	111.74733433475167	102.54684373187797	157.5302052344932	1.0	1.0	1.0	14.458347992518753	0.0	2.196541095255305	0.0	3299375.0	0.0	8.363746777176857	4.158956634072524	0.8587899019583363	97.45358805428869	245.4447952785061	243.53709933906794	65565.0	91.35492502525449	426.43703454360366	100.79693574419058	0.10800688065986774	51.62954693911419	707.8191449135655	709.3977948278189	50064.0	620.0577724352479	789.8418320119381	51.86252294544817	0.25544759814707163	33.98757293044307	999.7409337992634	1000.0379953347147	167357.0	940.9595294632018	1056.455269049853	35.07357326563091	0.1633427986923517	0.48008592317703247	0.514930601656137	0.5360599947015549
sub-772389_acq-headmotion1_T1w	0.3325882960800744	4.141747186145332	0.5881467114337238	17644.196944830197	5.3913633333333335	5.12117	5.62927	5.42365	0.21977956078686708	0.40810410067526864	0.37211633853786424	0.6004116237163544	0.2988883778452873	3.341605444851225e-05	0.012128709792961264	23.47768290389317	12.618788382250264	16.438424942968986	192	256	256	2.5463229312884548	13.134664306352224	12.421254268515758	21.582775567906598	18.49077595456693	47.69244032442834	44.64675912878678	67.75706110736508	1.0	1.0	1.0	22.150722199151645	0.0	4.99877530607797	0.0	2824341.0	0.0	23.34128201007843	9.669444720255406	-0.04962367826245506	107.3529615180666	271.3221451998392	272.9134511947632	54700.0	93.42123689129949	448.92831945838395	107.17845454377363	0.02058301265898166	54.071619517042464	702.2078980460587	703.9135900419205	30233.0	610.8009518310428	786.4777642674744	53.59116396507679	0.3767219032320841	44.42191511092412	1002.3133605049646	1000.0561055447906	231663.0	929.8919873870909	1082.1433545369655	46.33574323966461	0.1609759851857468	0.4641553672605814	0.5241775271358223	0.689323767717982
sub-772389_acq-headmotion2_T1w	0.43206697077932343	3.0796639062704743	0.6164247488254384	2413.8275449613393	5.017946666666667	4.64944	5.16462	5.23978	0.19214361264499621	0.4085277369173828	0.399328650437621	0.7672017216682434	0.46230727434158314	0.0	0.0069854998628557955	26.746578376839757	12.699066141236525	15.033044310649554	192	256	256	2.6086432070927326	12.303328697183005	9.715139582710666	14.23344684385626	19.264429849964436	45.296097495598055	42.812149185558845	63.87592021111404	1.0	1.0	1.0	6.051949170976162	10.256724322820649	18.311656898352336	6.918055426329374	2777392.0	0.0	69.8626160658896	25.746455605496397	-0.07730651390081311	116.1465683879972	302.1184804714535	301.60123328119516	45880.0	109.42220061644912	493.07059687990653	115.61487044092382	0.07374480803471517	57.110211487630465	708.7274913424	709.1493998989463	27389.0	613.232022973895	802.8192207887769	57.63777196844394	0.4369143669127209	68.57077669341128	1006.8656510204357	1000.0325191393495	237157.0	903.7968467064202	1132.2225923091173	70.25918751312315	0.16554062077814233	0.44919735819968976	0.5103105478604595	0.5813053410614156
sub-772389_acq-standard_T1w	0.2785305961376282	4.841606573761439	0.5710897524404663	-1.0	5.3195733333333335	5.11081	5.49276	5.35515	0.22665726506600134	0.4367915782961866	0.3365511566378121	0.5146337747573853	0.24224720895290375	0.0	0.010766192800288775	22.46732686813553	12.144975540154912	18.462670029208017	192	256	256	2.5321337106612263	13.724777379011604	15.918399823036962	31.49828837943805	42.840665359830936	114.86904453238812	106.7640144539502	162.58233346963155	1.0	1.0	1.0	25.006720103300008	0.0	1.9747456690806249	0.0	2864659.0	0.0	9.721774760633707	4.029675237222453	0.28056775859634353	102.84567577496193	257.1418967111668	263.5084363296628	53377.0	89.59071989357471	428.4026270210743	104.06479201237723	0.04084985954465914	51.84090974022472	705.853618058747	706.5474369544536	50194.0	620.1794048268348	788.4131057157181	51.479188276931886	0.49371591650649904	29.902091562909956	999.7891667800465	1000.0268695075065	216996.0	947.1747901458293	1051.4555951058865	31.748536720675023	0.16235621128232902	0.4838097520600474	0.5253796587504985	0.7322688104389716
sub-778481_acq-headmotion1_T1w	0.41750335200774635	3.222715009316723	0.5537137262145609	8264.70951214079	4.916703333333333	4.61871	5.00891	5.12249	0.18369619453894942	0.40233852265585196	0.4139652828051986	0.6276161074638367	0.27084785401821143	0.0018843495806426093	0.004222062843437549	33.36983661097737	15.211859714116304	17.019676364637903	192	256	256	2.5823649026273694	13.31627706782014	10.295957892271494	14.989231706366969	19.621242501197482	47.82214706124842	44.76190291677574	66.84231918788132	1.0	1.0	1.0	28.981195618778095	9.80202684344589	11.3290687848095	6.6113666370511055	3643433.0	0.0	51.043035589158535	21.42317196061957	-0.11767704785679323	112.81463193108841	292.6882505663179	293.5693173184991	32488.0	98.92411322146654	480.58886436894517	113.68060294878764	0.05967470399233443	53.05879747865275	715.1770089892809	715.5059148073196	23438.0	625.8623535111547	802.8498703166842	53.73053197976722	0.3731798335688312	65.75272665168671	1006.5942011886785	1000.0821309238672	205267.0	909.4530242905021	1125.5338394716382	66.71987693966973	0.1426975198174061	0.4472594872554271	0.5047040997811203	0.45706885873543157
sub-778481_acq-headmotion2_T1w	0.39627818754292726	3.430241561783058	0.5508315628990959	8510.985025	4.950906666666666	4.66154	5.03396	5.15722	0.18784155017549867	0.40966390336946934	0.402494546455032	0.6011045575141907	0.23678416013717646	0.00040296068441795634	0.008471925714085319	32.530462829162815	15.044999339794863	17.49237187695256	192	256	256	2.5116562592445537	13.09552888555964	10.677821678657596	16.426279891168598	10.603617969583409	26.050953527353897	24.39475832483829	36.52970347757756	1.0	1.0	1.0	31.789859790717664	0.0	9.811627813562103	0.0	3656181.0	0.0	42.45339238643646	17.935773266894635	0.038132001839545904	114.09619089080994	290.5136373008895	290.296933144331	33200.0	95.31740599572659	486.26823195964096	115.57814095825282	-0.014375430290922697	54.808604095275435	713.0849413255502	713.2010919451714	25885.0	622.7372058093548	801.2481557428837	54.46036748153941	0.5583393815138393	58.87504891524748	1005.3450264633516	1000.0794934928417	208297.0	915.8484649658203	1113.4872916936874	60.882750050922354	0.1418307961385849	0.45343654883007906	0.5119590594229144	0.46736537533303796
sub-778481_acq-standard_T1w	0.2994418273829048	4.58958314557932	0.5242686938976159	-1.0	5.129546666666667	4.86251	5.25393	5.2722	0.2118061672828267	0.4424575734780144	0.3457362592391589	0.3982647657394409	0.12071577310562137	0.0	0.009028401425532838	28.588994663040125	14.372125471790811	20.94999639888315	192	256	256	2.368124617578211	13.948920059532854	15.44979948174399	30.032353768120903	37.76949558312467	102.30927266980063	94.19804319152227	142.5153613216415	1.0	1.0	1.0	18.278620559789395	0.0	2.724324136640037	0.0	3809183.0	0.0	8.274079322814941	4.5971017075115235	0.09706420938895821	101.87499974049106	267.614012451676	265.0291033089161	38140.0	70.3943154886365	461.05852598380255	111.91371724881647	-0.026021998047444317	52.087546904004604	717.0979533446512	717.9056637436152	54016.0	632.0620907694101	799.9354032799602	51.46627949283811	0.20817906177675738	32.39299145088051	1000.5460639929114	1000.0323762781918	196079.0	946.7324379529804	1056.2702591754496	33.29841656504791	0.13598463678964517	0.4783298303881285	0.5219366197411286	0.5571386807956762
